candidate_limit,model,customers_evaluated,map_at_12,precision_at_10,recall_at_10,hit_rate_at_12,candidate_recall
3000,tabular_only,500,0.0011643398268398263,0.0014000000000000002,0.004933333333333334,0.018,0.43489566120154355
3000,image_history,500,0.003268042328042327,0.0028000000000000004,0.008388095238095238,0.03,0.43489566120154355
3000,late_fusion,500,0.0025307479557479546,0.0028000000000000004,0.010488095238095237,0.032,0.43489566120154355
3000,late_fusion_hybrid_w025,500,0.00534611592111592,0.0032,0.010019047619047618,0.032,0.43489566120154355
3000,late_fusion_hybrid_w045,500,0.0053160533910533905,0.0034000000000000002,0.010304761904761903,0.032,0.43489566120154355
3000,late_fusion_hybrid_w065,500,0.0053160533910533905,0.0034000000000000002,0.010304761904761903,0.032,0.43489566120154355
3000,candidate_heuristic,500,0.005322113997113996,0.0036,0.010971428571428571,0.032,0.43489566120154355
5000,tabular_only,500,0.001171121933621933,0.0012000000000000001,0.003933333333333333,0.018,0.4753790314260902
5000,image_history,500,0.003236007696007695,0.0024000000000000002,0.007221428571428571,0.03,0.4753790314260902
5000,late_fusion,500,0.002426851851851851,0.0026,0.008488095238095237,0.032,0.4753790314260902
5000,late_fusion_hybrid_w025,500,0.00534611592111592,0.0032,0.010019047619047618,0.032,0.4753790314260902
5000,late_fusion_hybrid_w045,500,0.0053160533910533905,0.0034000000000000002,0.010304761904761903,0.032,0.4753790314260902
5000,late_fusion_hybrid_w065,500,0.0053160533910533905,0.0034000000000000002,0.010304761904761903,0.032,0.4753790314260902
5000,candidate_heuristic,500,0.005322113997113996,0.0036,0.010971428571428571,0.032,0.4753790314260902
10000,tabular_only,500,0.0011236471861471857,0.0012000000000000001,0.003933333333333333,0.018,0.5384164273634862
10000,image_history,500,0.003222960557960557,0.0024000000000000002,0.007221428571428571,0.03,0.5384164273634862
10000,late_fusion,500,0.0024200491307634154,0.0026,0.008488095238095237,0.032,0.5384164273634862
10000,late_fusion_hybrid_w025,500,0.00534611592111592,0.0032,0.010019047619047618,0.032,0.5384164273634862
10000,late_fusion_hybrid_w045,500,0.0053160533910533905,0.0034000000000000002,0.010304761904761903,0.032,0.5384164273634862
10000,late_fusion_hybrid_w065,500,0.0053160533910533905,0.0034000000000000002,0.010304761904761903,0.032,0.5384164273634862
10000,candidate_heuristic,500,0.005322113997113996,0.0036,0.010971428571428571,0.032,0.5384164273634862
