feature_group,total_auc_drop,mean_auc_drop,total_accuracy_drop,feature_count
article_categorical,0.156232068485613,0.01301933904046775,0.02114999999999978,12
article_numeric,0.019713262153106093,0.0019713262153106094,0.009349999999999636,10
customer_numeric,0.015216714347449534,0.0050722381158165115,0.0044999999999999485,3
customer_categorical,0.0005106548571605085,0.00025532742858025426,0.0004499999999998394,2
